EmployeeID,Date,UnitsProduced,Defects,Attendance,OvertimeHours
2,2024-01-05,88,3,1,0
2,2024-01-06,106,9,1,1
2,2024-01-07,111,5,1,1
2,2024-01-08,84,4,1,1
2,2024-01-09,52,8,1,3
2,2024-01-10,83,0,1,3
2,2024-01-11,98,1,1,3
2,2024-01-12,72,5,1,3
2,2024-01-13,70,2,1,1
2,2024-01-14,137,5,1,2
2,2024-01-15,143,2,1,1
2,2024-01-16,60,9,1,1
2,2024-01-17,137,5,1,3
2,2024-01-18,62,3,1,3
2,2024-01-19,103,7,1,2
2,2024-01-20,67,0,1,3
2,2024-01-21,103,3,1,0
2,2024-01-22,59,0,1,0
2,2024-01-23,119,7,1,2
2,2024-01-24,75,2,1,0
2,2024-01-25,73,4,1,0
2,2024-01-26,145,7,1,1
2,2024-01-27,115,2,1,1
2,2024-01-28,107,7,0,0
2,2024-01-29,126,9,1,0
2,2024-01-30,148,8,1,3
2,2024-01-31,72,3,1,0
2,2024-02-01,78,1,1,0
2,2024-02-02,100,7,1,1
2,2024-02-03,122,0,0,1
2,2024-02-04,98,8,1,2
2,2024-02-05,56,4,1,0
2,2024-02-06,96,5,1,2
2,2024-02-07,51,8,1,2
2,2024-02-08,123,3,1,0
2,2024-02-09,81,5,1,1
2,2024-02-10,93,5,1,0
2,2024-02-11,62,2,1,2
2,2024-02-12,117,9,1,2
2,2024-02-13,86,5,1,2
2,2024-02-14,51,8,1,3
2,2024-02-15,99,5,1,0
2,2024-02-16,50,9,1,2
2,2024-02-17,118,9,1,0
2,2024-02-18,69,0,1,0
2,2024-02-19,57,1,1,1
2,2024-02-20,132,7,1,3
2,2024-02-21,96,5,1,0
2,2024-02-22,102,9,0,3
2,2024-02-23,56,0,1,2
2,2024-02-24,129,6,1,1
2,2024-02-25,134,8,1,1
2,2024-02-26,103,7,1,2
2,2024-02-27,66,7,1,3
2,2024-02-28,134,6,0,3
2,2024-02-29,112,7,0,3
2,2024-03-01,78,9,1,0
2,2024-03-02,75,2,1,3
2,2024-03-03,88,9,1,3
2,2024-03-04,134,0,1,2
2,2024-03-05,67,5,0,0
2,2024-03-06,63,0,1,2
2,2024-03-07,113,1,1,2
2,2024-03-08,71,9,1,3
2,2024-03-09,67,0,1,0
2,2024-03-10,105,9,1,2
2,2024-03-11,106,9,1,1
2,2024-03-12,131,7,1,2
2,2024-03-13,125,5,1,1
2,2024-03-14,93,2,1,1
2,2024-03-15,52,1,0,1
2,2024-03-16,64,6,1,3
2,2024-03-17,109,3,1,0
2,2024-03-18,105,2,1,1
2,2024-03-19,53,6,1,1
2,2024-03-20,96,9,1,3
2,2024-03-21,128,1,1,2
2,2024-03-22,149,9,0,0
2,2024-03-23,76,2,1,1
2,2024-03-24,71,2,1,1
2,2024-03-25,135,3,1,0
2,2024-03-26,61,8,1,1
2,2024-03-27,121,1,0,0
2,2024-03-28,57,6,1,0
2,2024-03-29,111,7,0,2
2,2024-03-30,129,5,1,1
2,2024-03-31,111,9,1,3
3,2024-01-01,103,6,1,1
3,2024-01-02,52,9,1,0
3,2024-01-03,143,8,1,2
3,2024-01-04,133,7,1,2
3,2024-01-05,96,3,1,0
3,2024-01-06,78,6,1,0
3,2024-01-07,148,3,0,1
3,2024-01-08,148,3,1,3
3,2024-01-09,52,1,1,1
3,2024-01-10,146,2,1,0
3,2024-01-11,126,0,1,0
3,2024-01-12,56,2,1,0
3,2024-01-13,59,3,1,2
3,2024-01-14,66,3,1,1
3,2024-01-15,109,3,1,1
3,2024-01-16,58,6,1,2
3,2024-01-17,84,1,1,3
3,2024-01-18,110,8,1,0
3,2024-01-19,76,0,0,1
3,2024-01-20,87,9,1,1
3,2024-01-21,113,4,1,3
3,2024-01-22,74,8,1,3
3,2024-01-23,133,2,1,1
3,2024-01-24,135,7,1,1
3,2024-01-25,115,1,0,0
3,2024-01-26,70,6,1,1
3,2024-01-27,113,6,1,3
3,2024-01-28,110,6,1,2
3,2024-01-29,127,5,1,3
3,2024-01-30,134,2,1,3
3,2024-01-31,144,4,1,1
3,2024-02-01,57,8,1,1
3,2024-02-02,107,2,1,3
3,2024-02-03,104,5,1,0
3,2024-02-04,52,4,1,2
3,2024-02-05,53,3,1,1
3,2024-02-06,120,2,0,3
3,2024-02-07,68,8,1,1
3,2024-02-08,125,0,1,1
3,2024-02-09,85,7,1,3
3,2024-02-10,93,9,1,1
3,2024-02-11,107,8,1,0
3,2024-02-12,148,5,1,1
3,2024-02-13,145,4,0,0
3,2024-02-14,88,8,1,0
3,2024-02-15,122,2,1,2
3,2024-02-16,118,4,1,3
3,2024-02-17,109,2,1,0
3,2024-02-18,107,2,1,1
3,2024-02-19,98,9,1,2
3,2024-02-20,69,9,1,0
3,2024-02-21,138,1,1,0
3,2024-02-22,100,1,1,1
3,2024-02-23,139,3,1,0
3,2024-02-24,59,4,1,3
3,2024-02-25,60,5,1,0
3,2024-02-26,103,4,1,0
3,2024-02-27,76,4,1,3
3,2024-02-28,108,8,1,3
3,2024-02-29,140,0,1,3
3,2024-03-01,114,3,1,1
3,2024-03-02,97,4,1,2
3,2024-03-03,82,6,1,2
3,2024-03-04,102,9,0,1
3,2024-03-05,65,6,1,0
3,2024-03-06,60,4,1,2
3,2024-03-07,77,4,1,1
3,2024-03-08,105,0,1,1
3,2024-03-09,123,3,1,0
3,2024-03-10,56,7,1,3
3,2024-03-11,114,6,1,2
3,2024-03-12,108,0,1,1
3,2024-03-13,60,0,1,2
3,2024-03-14,100,7,1,1
3,2024-03-15,79,9,1,2
3,2024-03-16,89,4,1,0
3,2024-03-17,79,6,1,2
3,2024-03-18,121,1,0,2
3,2024-03-19,55,3,1,2
3,2024-03-20,111,6,1,0
3,2024-03-21,131,0,1,2
3,2024-03-22,108,3,1,2
3,2024-03-23,124,8,1,0
3,2024-03-24,132,8,1,2
3,2024-03-25,92,1,1,1
3,2024-03-26,135,4,1,0
3,2024-03-27,83,0,1,0
3,2024-03-28,137,3,1,2
3,2024-03-29,130,2,1,1
3,2024-03-30,143,1,1,2
3,2024-03-31,91,5,1,1
4,2024-01-01,79,1,0,2
4,2024-01-02,53,2,1,1
4,2024-01-03,97,6,1,0
4,2024-01-04,98,1,1,1
4,2024-01-05,126,6,1,1
4,2024-01-06,99,9,1,1
4,2024-01-07,50,5,1,2
4,2024-01-08,85,4,0,0
4,2024-01-09,118,7,1,0
4,2024-01-10,123,9,1,2
4,2024-01-11,92,6,0,3
4,2024-01-12,94,2,1,1
4,2024-01-13,84,8,1,3
4,2024-01-14,101,5,1,2
4,2024-01-15,60,3,1,0
4,2024-01-16,80,3,1,1
4,2024-01-17,73,1,1,0
4,2024-01-18,59,9,1,2
4,2024-01-19,68,2,1,0
4,2024-01-20,118,4,1,1
4,2024-01-21,72,2,1,3
4,2024-01-22,107,1,1,3
4,2024-01-23,141,3,0,1
4,2024-01-24,70,4,1,2
4,2024-01-25,94,6,1,1
4,2024-01-26,118,7,1,2
4,2024-01-27,97,8,1,2
4,2024-01-28,84,2,1,1
4,2024-01-29,92,6,1,2
4,2024-01-30,57,6,1,2
4,2024-01-31,125,3,1,1
4,2024-02-01,142,6,1,0
4,2024-02-02,72,3,1,0
4,2024-02-03,75,2,1,0
4,2024-02-04,112,2,0,1
4,2024-02-05,64,5,1,0
4,2024-02-06,111,3,1,0
4,2024-02-07,114,4,1,3
4,2024-02-08,63,7,0,1
4,2024-02-09,86,5,1,3
4,2024-02-10,121,9,1,2
4,2024-02-11,76,0,1,2
4,2024-02-12,129,8,0,2
4,2024-02-13,81,6,1,1
4,2024-02-14,125,6,1,3
4,2024-02-15,107,9,1,0
4,2024-02-16,86,1,0,1
4,2024-02-17,79,8,1,0
4,2024-02-18,72,6,1,1
4,2024-02-19,84,8,1,1
4,2024-02-20,140,4,1,2
4,2024-02-21,147,7,0,2
4,2024-02-22,143,8,1,2
4,2024-02-23,65,6,1,1
4,2024-02-24,141,6,1,0
4,2024-02-25,89,4,1,2
4,2024-02-26,84,3,1,1
4,2024-02-27,132,3,1,1
4,2024-02-28,146,2,1,3
4,2024-02-29,52,9,1,1
4,2024-03-01,141,3,1,1
4,2024-03-02,122,8,1,0
4,2024-03-03,148,7,1,3
4,2024-03-04,114,5,1,2
4,2024-03-05,108,9,0,2
4,2024-03-06,120,7,1,2
4,2024-03-07,74,8,1,0
4,2024-03-08,146,7,1,3
4,2024-03-09,97,3,1,1
4,2024-03-10,82,8,1,1
4,2024-03-11,142,0,1,2
4,2024-03-12,91,2,1,3
4,2024-03-13,88,2,1,0
4,2024-03-14,120,9,1,3
4,2024-03-15,77,9,1,3
4,2024-03-16,113,9,1,0
4,2024-03-17,85,2,1,0
4,2024-03-18,95,7,1,0
4,2024-03-19,97,1,1,1
4,2024-03-20,140,5,1,0
4,2024-03-21,108,3,0,2
4,2024-03-22,66,9,1,3
4,2024-03-23,55,3,1,2
4,2024-03-24,103,5,1,2
4,2024-03-25,93,9,1,1
4,2024-03-26,112,7,1,2
4,2024-03-27,125,5,0,3
4,2024-03-28,71,3,1,2
4,2024-03-29,95,7,1,3
4,2024-03-30,112,3,1,2
4,2024-03-31,115,9,1,1
5,2024-01-01,63,2,1,1
5,2024-01-02,96,0,1,1
5,2024-01-03,80,1,1,3
5,2024-01-04,96,0,1,2
5,2024-01-05,75,1,1,1
5,2024-01-06,133,3,1,0
5,2024-01-07,100,1,1,1
5,2024-01-08,106,5,0,3
5,2024-01-09,124,4,1,0
5,2024-01-10,139,5,1,0
5,2024-01-11,85,7,1,1
5,2024-01-12,109,6,1,0
5,2024-01-13,138,9,1,2
5,2024-01-14,77,6,0,3
5,2024-01-15,62,8,0,3
5,2024-01-16,78,8,1,3
5,2024-01-17,142,7,1,1
5,2024-01-18,77,7,1,0
5,2024-01-19,94,2,1,3
5,2024-01-20,95,9,1,0
5,2024-01-21,98,1,1,0
5,2024-01-22,103,6,1,1
5,2024-01-23,109,9,1,2
5,2024-01-24,131,7,1,3
5,2024-01-25,114,0,1,3
5,2024-01-26,59,4,1,1
5,2024-01-27,53,5,1,0
5,2024-01-28,68,7,1,0
5,2024-01-29,93,9,1,2
5,2024-01-30,135,2,1,0
5,2024-01-31,142,1,1,0
5,2024-02-01,116,0,1,3
5,2024-02-02,99,6,0,1
5,2024-02-03,60,0,1,2
5,2024-02-04,100,2,1,0
5,2024-02-05,109,3,1,0
5,2024-02-06,89,2,1,2
5,2024-02-07,145,2,1,1
5,2024-02-08,103,4,1,1
5,2024-02-09,76,8,1,2
5,2024-02-10,143,5,1,3
5,2024-02-11,91,3,0,3
5,2024-02-12,91,2,1,1
5,2024-02-13,52,0,1,0
5,2024-02-14,85,3,1,3
5,2024-02-15,71,4,1,3
5,2024-02-16,124,8,1,2
5,2024-02-17,114,1,1,1
5,2024-02-18,109,6,1,3
5,2024-02-19,129,9,1,2
5,2024-02-20,80,9,1,2
5,2024-02-21,131,1,1,0
5,2024-02-22,110,3,1,0
5,2024-02-23,69,1,1,2
5,2024-02-24,64,8,1,0
5,2024-02-25,137,2,1,3
5,2024-02-26,113,2,1,0
5,2024-02-27,76,6,1,0
5,2024-02-28,56,1,1,2
5,2024-02-29,97,6,0,3
5,2024-03-01,148,9,1,3
5,2024-03-02,85,9,1,1
5,2024-03-03,80,3,1,2
5,2024-03-04,77,9,1,0
5,2024-03-05,111,0,1,3
5,2024-03-06,146,2,1,3
5,2024-03-07,103,8,1,0
5,2024-03-08,83,0,1,0
5,2024-03-09,122,9,1,0
5,2024-03-10,56,3,1,2
5,2024-03-11,134,0,1,3
5,2024-03-12,146,5,1,2
5,2024-03-13,125,2,1,1
5,2024-03-14,139,2,1,2
5,2024-03-15,149,3,1,1
5,2024-03-16,140,5,1,0
5,2024-03-17,58,6,1,1
5,2024-03-18,139,9,1,1
5,2024-03-19,59,2,1,0
5,2024-03-20,96,3,1,1
5,2024-03-21,56,8,1,3
5,2024-03-22,149,0,1,1
5,2024-03-23,142,2,1,1
5,2024-03-24,54,4,1,1
5,2024-03-25,81,0,1,0
5,2024-03-26,122,9,1,2
5,2024-03-27,109,3,1,3
5,2024-03-28,67,6,1,2
5,2024-03-29,140,7,1,1
5,2024-03-30,56,6,1,3
5,2024-03-31,82,6,1,1
6,2024-01-01,117,4,1,0
6,2024-01-02,72,2,1,1
6,2024-01-03,106,1,1,1
6,2024-01-04,62,2,1,3
6,2024-01-05,122,6,1,0
6,2024-01-06,72,6,1,1
6,2024-01-07,126,2,1,2
6,2024-01-08,50,5,1,2
6,2024-01-09,80,7,1,2
6,2024-01-10,63,0,0,0
6,2024-01-11,66,9,0,0
6,2024-01-12,117,5,1,2
6,2024-01-13,116,9,1,0
6,2024-01-14,84,5,1,0
6,2024-01-15,56,0,1,2
6,2024-01-16,65,6,1,3
6,2024-01-17,128,2,1,3
6,2024-01-18,139,5,1,3
6,2024-01-19,104,7,1,2
6,2024-01-20,129,0,1,3
6,2024-01-21,89,6,1,1
6,2024-01-22,102,2,1,3
6,2024-01-23,91,0,1,3
6,2024-01-24,102,9,1,3
6,2024-01-25,92,0,1,3
6,2024-01-26,66,3,1,2
6,2024-01-27,79,7,1,0
6,2024-01-28,103,2,1,3
6,2024-01-29,110,4,1,1
6,2024-01-30,80,9,1,2
6,2024-01-31,132,9,1,1
6,2024-02-01,143,4,1,2
6,2024-02-02,132,0,1,0
6,2024-02-03,82,7,1,0
6,2024-02-04,108,6,1,2
6,2024-02-05,86,0,1,0
6,2024-02-06,138,3,1,2
6,2024-02-07,77,5,1,2
6,2024-02-08,147,1,1,0
6,2024-02-09,74,6,1,1
6,2024-02-10,115,3,1,2
6,2024-02-11,96,3,1,3
6,2024-02-12,87,2,1,2
6,2024-02-13,117,9,1,1
6,2024-02-14,50,4,1,2
6,2024-02-15,88,1,1,0
6,2024-02-16,103,7,1,1
6,2024-02-17,108,8,0,1
6,2024-02-18,68,4,1,1
6,2024-02-19,139,4,1,1
6,2024-02-20,89,1,1,3
6,2024-02-21,131,9,1,1
6,2024-02-22,130,2,1,0
6,2024-02-23,67,8,1,3
6,2024-02-24,72,1,1,3
6,2024-02-25,113,7,1,3
6,2024-02-26,72,3,1,2
6,2024-02-27,111,7,1,0
6,2024-02-28,101,5,0,2
6,2024-02-29,106,7,1,2
6,2024-03-01,124,2,1,3
6,2024-03-02,70,6,1,2
6,2024-03-03,129,2,1,1
6,2024-03-04,66,6,1,0
6,2024-03-05,81,0,1,3
6,2024-03-06,50,1,0,2
6,2024-03-07,103,0,1,2
6,2024-03-08,117,0,1,1
6,2024-03-09,81,1,1,3
6,2024-03-10,141,8,1,1
6,2024-03-11,108,8,1,3
6,2024-03-12,79,8,1,3
6,2024-03-13,74,7,1,1
6,2024-03-14,71,4,1,2
6,2024-03-15,102,9,1,2
6,2024-03-16,87,1,0,1
6,2024-03-17,100,4,1,2
6,2024-03-18,65,8,1,0
6,2024-03-19,78,7,1,2
6,2024-03-20,125,2,1,1
6,2024-03-21,107,4,1,0
6,2024-03-22,64,0,1,0
6,2024-03-23,135,9,1,3
6,2024-03-24,141,2,1,1
6,2024-03-25,130,6,1,0
6,2024-03-26,144,1,1,2
6,2024-03-27,113,8,1,3
6,2024-03-28,66,3,1,3
6,2024-03-29,58,9,1,1
6,2024-03-30,57,4,1,0
6,2024-03-31,113,0,1,3
7,2024-01-01,73,9,1,1
7,2024-01-02,128,7,1,3
7,2024-01-03,146,0,1,1
7,2024-01-04,131,1,1,1
7,2024-01-05,78,3,1,2
7,2024-01-06,96,3,1,3
7,2024-01-07,145,4,1,0
7,2024-01-08,125,3,1,0
7,2024-01-09,135,9,0,2
7,2024-01-10,78,6,1,1
7,2024-01-11,116,3,1,1
7,2024-01-12,115,2,1,3
7,2024-01-13,132,4,1,3
7,2024-01-14,134,8,1,1
7,2024-01-15,115,7,1,1
7,2024-01-16,140,0,1,3
7,2024-01-17,130,6,1,0
7,2024-01-18,80,4,1,3
7,2024-01-19,90,8,0,0
7,2024-01-20,134,8,1,1
7,2024-01-21,120,7,1,3
7,2024-01-22,141,3,1,2
7,2024-01-23,117,7,1,2
7,2024-01-24,88,1,1,2
7,2024-01-25,126,1,1,0
7,2024-01-26,76,3,1,1
7,2024-01-27,96,4,1,2
7,2024-01-28,61,8,1,0
7,2024-01-29,146,2,1,3
7,2024-01-30,72,4,1,1
7,2024-01-31,86,8,0,0
7,2024-02-01,115,1,1,3
7,2024-02-02,92,4,0,3
7,2024-02-03,50,6,1,1
7,2024-02-04,115,0,1,0
7,2024-02-05,114,4,1,2
7,2024-02-06,96,6,1,1
7,2024-02-07,94,6,1,2
7,2024-02-08,74,9,1,0
7,2024-02-09,92,3,1,3
7,2024-02-10,118,7,1,3
7,2024-02-11,120,4,1,0
7,2024-02-12,67,4,1,3
7,2024-02-13,64,7,1,3
7,2024-02-14,112,2,1,0
7,2024-02-15,82,6,0,1
7,2024-02-16,139,8,1,2
7,2024-02-17,147,7,1,1
7,2024-02-18,146,7,1,2
7,2024-02-19,109,0,1,1
7,2024-02-20,102,6,0,1
7,2024-02-21,82,5,1,2
7,2024-02-22,128,3,1,3
7,2024-02-23,136,3,1,2
7,2024-02-24,116,1,1,1
7,2024-02-25,116,1,0,1
7,2024-02-26,108,1,1,3
7,2024-02-27,61,7,1,2
7,2024-02-28,135,7,0,2
7,2024-02-29,117,4,1,3
7,2024-03-01,122,9,1,1
7,2024-03-02,142,4,0,3
7,2024-03-03,112,0,1,0
7,2024-03-04,86,4,1,3
7,2024-03-05,114,3,1,0
7,2024-03-06,50,5,1,3
7,2024-03-07,53,7,1,0
7,2024-03-08,64,4,0,3
7,2024-03-09,78,9,1,3
7,2024-03-10,143,9,1,1
7,2024-03-11,58,8,1,2
7,2024-03-12,120,8,1,2
7,2024-03-13,107,5,1,2
7,2024-03-14,54,4,1,3
7,2024-03-15,104,1,1,2
7,2024-03-16,133,5,1,3
7,2024-03-17,128,4,1,1
7,2024-03-18,106,9,1,3
7,2024-03-19,133,3,1,2
7,2024-03-20,128,3,1,2
7,2024-03-21,53,8,1,1
7,2024-03-22,104,7,1,3
7,2024-03-23,63,2,1,3
7,2024-03-24,141,0,1,2
7,2024-03-25,52,5,1,2
7,2024-03-26,105,7,1,3
7,2024-03-27,57,0,1,1
7,2024-03-28,66,0,1,3
7,2024-03-29,50,5,1,3
7,2024-03-30,52,4,1,2
7,2024-03-31,138,3,1,1
8,2024-01-01,61,7,1,3
8,2024-01-02,124,1,1,3
8,2024-01-03,108,2,1,2
8,2024-01-04,89,2,1,0
8,2024-01-05,104,1,1,2
8,2024-01-06,107,3,1,1
8,2024-01-07,127,6,1,2
8,2024-01-08,98,8,1,1
8,2024-01-09,95,7,0,3
8,2024-01-10,56,8,1,3
8,2024-01-11,64,5,1,2
8,2024-01-12,81,2,1,3
8,2024-01-13,149,8,1,1
8,2024-01-14,132,7,1,0
8,2024-01-15,102,1,1,1
8,2024-01-16,81,8,1,3
8,2024-01-17,62,3,1,1
8,2024-01-18,120,0,1,2
8,2024-01-19,118,6,1,0
8,2024-01-20,141,2,1,2
8,2024-01-21,134,4,1,3
8,2024-01-22,53,0,1,2
8,2024-01-23,105,2,1,1
8,2024-01-24,120,8,1,2
8,2024-01-25,59,8,1,2
8,2024-01-26,123,5,1,0
8,2024-01-27,146,5,1,3
8,2024-01-28,140,8,1,2
8,2024-01-29,121,8,1,0
8,2024-01-30,51,7,1,0
8,2024-01-31,105,1,1,2
8,2024-02-01,143,2,0,3
8,2024-02-02,87,7,1,0
8,2024-02-03,86,6,0,2
8,2024-02-04,87,3,1,0
8,2024-02-05,71,0,1,1
8,2024-02-06,100,0,1,3
8,2024-02-07,89,6,1,0
8,2024-02-08,112,9,1,0
8,2024-02-09,134,0,1,0
8,2024-02-10,61,0,1,1
8,2024-02-11,83,2,1,3
8,2024-02-12,139,6,1,0
8,2024-02-13,142,6,1,1
8,2024-02-14,50,2,0,3
8,2024-02-15,58,1,1,2
8,2024-02-16,136,2,1,2
8,2024-02-17,78,0,1,1
8,2024-02-18,62,2,1,2
8,2024-02-19,121,6,1,0
8,2024-02-20,94,8,1,0
8,2024-02-21,50,1,1,0
8,2024-02-22,120,1,1,0
8,2024-02-23,70,8,0,2
8,2024-02-24,101,4,1,1
8,2024-02-25,96,2,1,2
8,2024-02-26,123,3,1,0
8,2024-02-27,83,6,1,3
8,2024-02-28,136,3,1,2
8,2024-02-29,73,9,1,1
8,2024-03-01,76,5,1,2
8,2024-03-02,87,5,1,2
8,2024-03-03,127,2,1,3
8,2024-03-04,94,4,1,3
8,2024-03-05,139,6,0,2
8,2024-03-06,99,9,1,1
8,2024-03-07,137,1,1,0
8,2024-03-08,123,2,0,0
8,2024-03-09,108,1,1,0
8,2024-03-10,135,7,0,3
8,2024-03-11,141,2,1,3
8,2024-03-12,121,8,1,3
8,2024-03-13,132,9,1,3
8,2024-03-14,141,9,1,0
8,2024-03-15,75,2,1,0
8,2024-03-16,73,2,0,1
8,2024-03-17,142,1,1,1
8,2024-03-18,85,4,1,0
8,2024-03-19,95,5,1,2
8,2024-03-20,67,7,1,2
8,2024-03-21,146,9,1,2
8,2024-03-22,56,8,1,3
8,2024-03-23,135,3,1,3
8,2024-03-24,124,8,1,1
8,2024-03-25,53,7,1,1
8,2024-03-26,139,3,1,1
8,2024-03-27,90,3,1,3
8,2024-03-28,52,4,1,2
8,2024-03-29,105,6,1,1
8,2024-03-30,122,4,1,2
8,2024-03-31,133,8,1,1
9,2024-01-01,100,9,1,0
9,2024-01-02,121,0,1,3
9,2024-01-03,143,8,1,0
9,2024-01-04,115,8,1,3
9,2024-01-05,99,2,1,2
9,2024-01-06,70,7,1,2
9,2024-01-07,106,8,1,0
9,2024-01-08,140,2,1,0
9,2024-01-09,97,9,1,1
9,2024-01-10,72,7,1,0
9,2024-01-11,125,7,0,1
9,2024-01-12,66,6,1,3
9,2024-01-13,138,8,1,1
9,2024-01-14,78,7,1,2
9,2024-01-15,88,1,1,3
9,2024-01-16,69,3,0,3
9,2024-01-17,122,8,1,2
9,2024-01-18,125,2,1,3
9,2024-01-19,144,8,1,0
9,2024-01-20,126,7,1,0
9,2024-01-21,116,8,1,3
9,2024-01-22,82,7,1,2
9,2024-01-23,78,4,1,3
9,2024-01-24,103,7,1,3
9,2024-01-25,73,8,0,1
9,2024-01-26,117,1,1,2
9,2024-01-27,118,3,1,0
9,2024-01-28,93,5,1,1
9,2024-01-29,134,6,1,0
9,2024-01-30,95,0,1,2
9,2024-01-31,87,1,1,1
9,2024-02-01,149,3,1,2
9,2024-02-02,89,4,1,2
9,2024-02-03,118,3,1,1
9,2024-02-04,120,2,1,0
9,2024-02-05,51,0,1,1
9,2024-02-06,95,9,0,1
9,2024-02-07,104,1,1,3
9,2024-02-08,77,7,1,0
9,2024-02-09,140,8,1,2
9,2024-02-10,89,4,0,1
9,2024-02-11,57,9,1,2
9,2024-02-12,134,4,1,3
9,2024-02-13,98,1,1,3
9,2024-02-14,126,2,1,3
9,2024-02-15,108,6,1,2
9,2024-02-16,115,5,1,1
9,2024-02-17,70,0,1,1
9,2024-02-18,98,8,1,1
9,2024-02-19,106,3,0,0
9,2024-02-20,92,7,1,0
9,2024-02-21,126,9,1,1
9,2024-02-22,70,4,1,1
9,2024-02-23,119,5,1,1
9,2024-02-24,146,7,1,2
9,2024-02-25,149,2,1,0
9,2024-02-26,79,4,1,1
9,2024-02-27,107,2,1,3
9,2024-02-28,98,2,1,2
9,2024-02-29,53,1,1,3
9,2024-03-01,111,7,1,2
9,2024-03-02,66,1,1,1
9,2024-03-03,88,6,1,1
9,2024-03-04,55,8,1,0
9,2024-03-05,85,8,1,3
9,2024-03-06,59,5,1,3
9,2024-03-07,112,1,1,1
9,2024-03-08,79,1,1,2
9,2024-03-09,131,7,1,0
9,2024-03-10,52,6,1,1
9,2024-03-11,62,5,1,0
9,2024-03-12,111,4,1,3
9,2024-03-13,61,2,1,3
9,2024-03-14,59,9,1,0
9,2024-03-15,71,0,1,3
9,2024-03-16,70,8,1,0
9,2024-03-17,120,0,1,1
9,2024-03-18,83,5,1,0
9,2024-03-19,108,9,1,1
9,2024-03-20,132,0,1,1
9,2024-03-21,92,4,1,1
9,2024-03-22,91,4,0,2
9,2024-03-23,140,0,1,1
9,2024-03-24,79,7,1,3
9,2024-03-25,68,3,1,3
9,2024-03-26,56,8,1,2
9,2024-03-27,141,0,1,0
9,2024-03-28,96,9,1,2
9,2024-03-29,87,3,1,2
9,2024-03-30,97,5,1,3
9,2024-03-31,91,7,0,1
